345 80
Day,SnailPopulation, PredPopulation
1,200, 20
2,220, 18
3,261, 18
4,265, 18
5,293, 18
6,314, 18
7,337, 17
8,345, 17
9,297, 17
10,184, 18
11,167, 18
12,144, 18
13,143, 19
14,138, 18
15,150, 19
16,126, 19
17,108, 19
18,95, 19
19,87, 18
20,81, 17
21,99, 17
22,88, 16
23,82, 18
24,74, 18
25,71, 19
26,75, 19
27,76, 19
28,83, 18
29,91, 14
30,85, 8
31,90, 9
32,91, 9
33,90, 8
34,81, 10
35,75, 10
36,64, 11
37,55, 11
38,56, 10
39,69, 10
40,66, 10
41,72, 10
42,77, 10
43,92, 10
44,100, 10
45,97, 10
46,98, 10
47,101, 10
48,100, 11
49,99, 11
50,102, 11
51,97, 9
52,98, 9
53,95, 11
54,94, 11
55,93, 11
56,84, 11
57,89, 13
58,97, 13
59,92, 13
60,106, 13
61,101, 13
62,107, 13
63,115, 12
64,115, 12
65,116, 12
66,116, 12
67,105, 13
68,97, 12
69,101, 13
70,102, 14
71,99, 14
72,96, 14
73,95, 13
74,103, 13
75,106, 13
76,113, 13
77,117, 14
78,139, 14
79,137, 14
80,137, 14
81,118, 13
82,111, 13
83,100, 13
84,105, 13
85,98, 13
86,106, 12
87,104, 13
88,92, 13
89,76, 14
90,80, 15
91,65, 15
92,77, 15
93,93, 17
94,89, 17
95,95, 17
96,101, 17
97,114, 17
98,98, 16
99,92, 16
100,85, 18
101,85, 19
102,82, 20
103,99, 18
104,102, 18
105,121, 19
106,109, 19
107,113, 18
108,105, 19
109,115, 19
110,112, 20
111,114, 22
112,108, 22
113,107, 23
114,101, 23
115,85, 26
116,77, 27
117,85, 27
118,82, 28
119,68, 28
120,72, 29
121,79, 29
122,62, 29
123,62, 30
124,68, 32
125,62, 33
126,69, 34
127,66, 33
128,74, 36
129,76, 37
130,56, 38
131,64, 39
132,68, 40
133,68, 41
134,59, 43
135,63, 43
136,54, 44
137,53, 45
138,48, 49
139,53, 49
140,57, 50
141,39, 52
142,34, 52
143,38, 51
144,50, 53
145,53, 55
146,39, 56
147,50, 58
148,51, 59
149,38, 60
150,42, 61
151,54, 64
152,42, 66
153,42, 68
154,38, 69
155,46, 69
156,38, 67
157,38, 60
158,42, 60
159,38, 61
160,42, 59
161,46, 59
162,42, 62
163,46, 65
164,42, 66
165,42, 67
166,38, 70
167,42, 66
168,42, 65
169,46, 66
170,30, 65
171,50, 63
172,46, 66
173,58, 67
174,38, 67
175,38, 68
176,42, 69
177,38, 71
178,42, 68
179,30, 54
180,34, 53
181,46, 55
182,56, 55
183,33, 56
184,41, 53
185,45, 54
186,42, 58
187,49, 57
188,45, 54
189,37, 56
190,50, 55
191,55, 53
192,48, 54
193,29, 56
194,49, 56
195,52, 55
196,42, 56
197,33, 57
198,54, 59
199,49, 62
200,50, 64
201,45, 66
202,37, 68
203,37, 69
204,49, 69
205,33, 72
206,41, 66
207,41, 65
208,41, 64
209,45, 65
210,37, 67
211,37, 63
212,53, 65
213,45, 65
214,62, 67
215,42, 63
216,29, 64
217,41, 66
218,49, 68
219,37, 69
220,41, 72
221,45, 74
222,37, 72
223,37, 69
224,49, 70
225,49, 72
226,45, 71
227,41, 71
228,49, 72
229,37, 70
230,45, 67
231,41, 69
232,49, 74
233,33, 79
234,33, 80
235,33, 79
236,41, 70
237,33, 60
238,45, 61
239,29, 62
240,49, 61
241,45, 61
242,41, 63
243,41, 61
244,29, 63
245,37, 64
246,29, 61
247,53, 59
248,29, 60
249,45, 63
250,50, 66
251,41, 69
252,33, 71
253,41, 76
254,33, 74
255,49, 68
256,45, 73
257,45, 74
258,37, 73
259,37, 72
260,41, 69
261,29, 61
262,45, 56
263,37, 60
264,45, 63
265,33, 65
266,41, 66
267,33, 66
268,45, 62
269,29, 55
270,45, 50
271,49, 48
272,41, 54
273,32, 54
274,36, 59
275,44, 62
276,36, 64
277,44, 66
278,36, 65
279,48, 65
280,40, 67
281,44, 68
282,40, 68
283,32, 63
284,36, 67
285,40, 61
286,44, 60
287,36, 59
288,44, 56
289,40, 55
290,40, 55
291,44, 56
292,36, 55
293,40, 57
294,36, 55
295,32, 57
296,32, 54
297,40, 54
298,36, 56
299,32, 56
300,52, 57
301,32, 57
302,36, 58
303,40, 59
304,44, 64
305,32, 64
306,48, 68
307,44, 71
308,40, 70
309,28, 72
310,40, 72
311,40, 68
312,28, 60
313,44, 58
314,44, 62
315,36, 66
316,43, 67
317,51, 68
318,31, 70
319,35, 74
320,31, 75
321,35, 74
322,39, 59
323,47, 60
324,51, 59
325,41, 60
326,43, 60
327,43, 60
328,47, 60
329,31, 63
330,31, 63
331,43, 67
332,43, 67
333,31, 71
334,27, 65
335,31, 67
336,39, 64
337,39, 64
338,27, 61
339,55, 63
340,35, 65
341,31, 65
342,35, 65
343,47, 65
344,35, 66
345,39, 62
346,43, 60
347,31, 60
348,47, 58
349,35, 58
350,27, 58
351,39, 60
352,39, 62
353,38, 63
354,34, 60
355,42, 61
356,34, 61
357,34, 58
358,34, 57
359,26, 58
360,46, 57
361,30, 57
362,30, 59
363,34, 58
364,30, 55
365,38, 54
