553 20
Day,SnailPopulation, PredPopulation
1,200, 20
2,263, 18
3,359, 17
4,439, 17
5,483, 17
6,512, 0
7,553, 0
8,492, 0
9,216, 0
10,182, 0
11,162, 0
12,148, 0
13,110, 0
14,99, 0
15,103, 0
16,107, 0
17,95, 0
18,95, 0
19,103, 0
20,103, 0
21,103, 0
22,107, 0
23,103, 0
24,111, 0
25,115, 0
26,119, 0
27,103, 0
28,99, 0
29,87, 0
30,79, 0
31,63, 0
32,79, 0
33,95, 0
34,103, 0
35,107, 0
36,135, 0
37,123, 0
38,127, 0
39,115, 0
40,103, 0
41,103, 0
42,107, 0
43,103, 0
44,119, 0
45,127, 0
46,111, 0
47,107, 0
48,103, 0
49,106, 0
50,116, 0
51,124, 0
52,120, 0
53,112, 0
54,95, 0
55,88, 0
56,82, 0
57,89, 0
58,93, 0
59,85, 0
60,97, 0
61,89, 0
62,105, 0
63,102, 0
64,114, 0
65,98, 0
66,106, 0
67,94, 0
68,106, 0
69,94, 0
70,94, 0
71,94, 0
72,106, 0
73,98, 0
74,106, 0
75,112, 0
76,109, 0
77,90, 0
78,98, 0
79,102, 0
80,102, 0
81,106, 0
82,122, 0
83,118, 0
84,114, 0
85,106, 0
86,110, 0
87,98, 0
88,86, 0
89,102, 0
90,130, 0
91,125, 0
92,137, 0
93,157, 0
94,137, 0
95,109, 0
96,112, 0
97,105, 0
98,93, 0
99,105, 0
100,117, 0
101,97, 0
102,85, 0
103,93, 0
104,109, 0
105,113, 0
106,133, 0
107,137, 0
108,141, 0
109,116, 0
110,100, 0
111,93, 0
112,97, 0
113,97, 0
114,89, 0
115,97, 0
116,93, 0
117,93, 0
118,101, 0
119,121, 0
120,129, 0
121,133, 0
122,133, 0
123,117, 0
124,133, 0
125,117, 0
126,113, 0
127,129, 0
128,129, 0
129,113, 0
130,112, 0
131,115, 0
132,112, 0
133,116, 0
134,105, 0
135,129, 0
136,129, 0
137,125, 0
138,129, 0
139,145, 0
140,125, 0
141,149, 0
142,157, 0
143,141, 0
144,133, 0
145,137, 0
146,121, 0
147,113, 0
148,125, 0
149,125, 0
150,121, 0
151,133, 0
152,125, 0
153,141, 0
154,137, 0
155,141, 0
156,129, 0
157,141, 0
158,129, 0
159,133, 0
160,129, 0
161,129, 0
162,129, 0
163,125, 0
164,125, 0
165,129, 0
166,129, 0
167,125, 0
168,129, 0
169,145, 0
170,141, 0
171,133, 0
172,121, 0
173,109, 0
174,85, 0
175,89, 0
176,101, 0
177,109, 0
178,109, 0
179,121, 0
180,125, 0
181,117, 0
182,117, 0
183,128, 0
184,133, 0
185,129, 0
186,121, 0
187,137, 0
188,137, 0
189,137, 0
190,121, 0
191,129, 0
192,117, 0
193,113, 0
194,105, 0
195,121, 0
196,121, 0
197,125, 0
198,125, 0
199,121, 0
200,141, 0
201,149, 0
202,157, 0
203,141, 0
204,148, 0
205,124, 0
206,116, 0
207,92, 0
208,116, 0
209,104, 0
210,108, 0
211,108, 0
212,128, 0
213,124, 0
214,136, 0
215,140, 0
216,156, 0
217,156, 0
218,152, 0
219,155, 0
220,160, 0
221,140, 0
222,124, 0
223,117, 0
224,117, 0
225,109, 0
226,129, 0
227,137, 0
228,141, 0
229,132, 0
230,130, 0
231,103, 0
232,103, 0
233,102, 0
234,99, 0
235,111, 0
236,131, 0
237,131, 0
238,142, 0
239,154, 0
240,146, 0
241,150, 0
242,155, 0
243,140, 0
244,136, 0
245,136, 0
246,128, 0
247,123, 0
248,139, 0
249,132, 0
250,124, 0
251,132, 0
252,136, 0
253,128, 0
254,136, 0
255,156, 0
256,168, 0
257,164, 0
258,180, 0
259,192, 0
260,188, 0
261,168, 0
262,164, 0
263,164, 0
264,152, 0
265,144, 0
266,156, 0
267,151, 0
268,143, 0
269,127, 0
270,130, 0
271,123, 0
272,127, 0
273,123, 0
274,139, 0
275,136, 0
276,152, 0
277,152, 0
278,151, 0
279,155, 0
280,166, 0
281,156, 0
282,174, 0
283,170, 0
284,154, 0
285,157, 0
286,153, 0
287,146, 0
288,138, 0
289,142, 0
290,133, 0
291,142, 0
292,142, 0
293,150, 0
294,138, 0
295,122, 0
296,127, 0
297,115, 0
298,115, 0
299,147, 0
300,167, 0
301,155, 0
302,159, 0
303,179, 0
304,159, 0
305,143, 0
306,139, 0
307,163, 0
308,159, 0
309,171, 0
310,175, 0
311,187, 0
312,167, 0
313,147, 0
314,135, 0
315,151, 0
316,131, 0
317,147, 0
318,163, 0
319,175, 0
320,171, 0
321,179, 0
322,179, 0
323,179, 0
324,187, 0
325,167, 0
326,175, 0
327,163, 0
328,163, 0
329,151, 0
330,163, 0
331,159, 0
332,155, 0
333,175, 0
334,183, 0
335,179, 0
336,175, 0
337,183, 0
338,171, 0
339,179, 0
340,191, 0
341,199, 0
342,207, 0
343,191, 0
344,179, 0
345,171, 0
346,167, 0
347,170, 0
348,162, 0
349,156, 0
350,152, 0
351,144, 0
352,143, 0
353,165, 0
354,157, 0
355,173, 0
356,181, 0
357,169, 0
358,173, 0
359,187, 0
360,180, 0
361,195, 0
362,199, 0
363,191, 0
364,179, 0
365,179, 0
