Day,SnailPopulation, PredPopulation
1,200, 10
2,313, 11
3,387, 11
4,496, 10
5,513, 10
6,556, 9
7,615, 9
8,616, 9
9,325, 9
10,312, 11
11,298, 13
12,254, 15
13,269, 15
14,251, 16
15,236, 16
16,237, 16
17,236, 16
18,224, 15
19,203, 15
20,204, 15
21,189, 14
22,170, 14
23,151, 16
24,153, 20
25,172, 20
26,171, 22
27,177, 22
28,183, 20
29,176, 20
30,167, 22
31,180, 22
32,189, 22
33,192, 28
34,200, 30
35,214, 32
36,197, 34
37,184, 38
38,201, 39
39,209, 38
40,200, 40
41,243, 42
42,257, 42
43,258, 46
44,250, 46
45,227, 50
46,215, 50
47,210, 50
48,203, 52
49,218, 52
50,252, 52
51,257, 52
52,253, 50
53,261, 52
54,254, 54
55,247, 56
56,235, 56
57,243, 56
58,248, 58
59,245, 62
60,237, 66
61,237, 68
62,273, 68
63,263, 72
64,285, 80
65,276, 84
66,303, 86
67,247, 92
68,257, 96
69,257, 96
70,269, 96
71,251, 104
72,245, 110
73,253, 112
74,245, 118
75,221, 122
76,217, 126
77,237, 134
78,221, 134
79,235, 136
80,249, 134
81,248, 144
82,252, 146
83,283, 146
84,281, 152
85,270, 156
86,302, 162
87,301, 164
88,290, 164
89,307, 166
90,315, 172
91,301, 178
92,282, 182
93,278, 186
94,282, 188
95,265, 194
96,252, 200
97,258, 202
98,242, 222
99,218, 224
100,223, 228
101,248, 242
102,261, 250
103,284, 262
104,304, 268
105,307, 272
106,280, 292
107,287, 294
108,306, 300
109,308, 316
110,327, 320
111,340, 336
112,303, 346
113,299, 362
114,287, 372
115,271, 380
116,279, 394
117,281, 402
118,259, 418
119,268, 438
120,258, 462
121,273, 462
122,297, 472
123,292, 480
124,291, 494
125,280, 516
126,261, 522
127,242, 526
128,252, 554
129,247, 564
130,282, 580
131,305, 600
132,319, 628
133,341, 640
134,364, 660
135,354, 694
136,339, 722
137,294, 729
138,258, 743
139,228, 759
140,207, 766
141,175, 781
142,182, 805
143,169, 817
144,153, 832
145,157, 840
146,154, 854
147,153, 872
148,150, 870
149,152, 894
150,154, 911
151,155, 915
152,161, 931
153,160, 945
154,173, 966
155,168, 983
156,166, 997
157,167, 1024
158,170, 1046
159,160, 1059
160,166, 1079
161,170, 1086
162,169, 1097
163,166, 1104
164,169, 1109
165,169, 1125
166,167, 1141
167,176, 1154
168,172, 1152
169,173, 1161
170,170, 1172
171,176, 1195
172,174, 1214
173,176, 1227
174,168, 1237
175,158, 1240
176,170, 1259
177,170, 1279
178,174, 1280
179,182, 1301
180,180, 1327
181,175, 1335
182,187, 1337
183,185, 1366
184,186, 1383
185,188, 1377
186,178, 1375
187,158, 1394
188,162, 1415
189,172, 1441
190,170, 1455
191,174, 1474
192,164, 1489
193,164, 1508
194,164, 1529
195,162, 1552
196,164, 1564
197,166, 1590
198,165, 1618
199,165, 1630
200,157, 1639
201,151, 1659
202,143, 1685
203,149, 1700
204,142, 1723
205,150, 1743
206,150, 1748
207,153, 1775
208,156, 1785
209,155, 1801
210,154, 1832
211,149, 1855
212,156, 1887
213,146, 1917
214,141, 1954
215,141, 1970
216,141, 1980
217,138, 2002
218,138, 2037
219,144, 2060
220,143, 2080
221,134, 2113
222,141, 2135
223,133, 2184
224,128, 2195
225,131, 2227
226,139, 2256
227,137, 2286
228,137, 2320
229,131, 2353
230,123, 2376
231,125, 2402
232,119, 2434
233,120, 2461
234,120, 2480
235,125, 2511
236,117, 2539
237,121, 2587
238,124, 2617
239,125, 2642
240,125, 2679
241,117, 2712
242,119, 2747
243,122, 2773
244,115, 2800
245,121, 2824
246,115, 2858
247,109, 2874
248,102, 2897
249,102, 2938
250,89, 2962
251,89, 2996
252,97, 3022
253,97, 3062
254,91, 3091
255,95, 3119
256,91, 3165
257,88, 3187
258,89, 3242
259,94, 3293
260,90, 3310
261,103, 3347
262,113, 3372
263,108, 3417
264,117, 3441
265,110, 3502
266,99, 3570
267,92, 3630
268,90, 3671
269,78, 3723
270,76, 3765
271,79, 3810
272,72, 3855
273,72, 3889
274,81, 3954
275,86, 4014
276,91, 4046
277,102, 4085
278,100, 4101
279,101, 4145
280,102, 4194
281,96, 4236
282,82, 4271
283,86, 4320
284,89, 4364
285,87, 4398
286,92, 4453
287,104, 4491
288,103, 4543
289,94, 4594
290,94, 4631
291,95, 4673
292,90, 4736
293,96, 4792
294,94, 4872
295,92, 4940
296,91, 5017
297,88, 5083
298,82, 5157
299,92, 5207
300,91, 5294
301,86, 5374
302,89, 5458
303,100, 5509
304,91, 5583
305,88, 5687
306,95, 5739
307,93, 5796
308,96, 5867
309,101, 5929
310,94, 6006
311,99, 6079
312,104, 6149
313,94, 6201
314,89, 6256
315,98, 6313
316,87, 6375
317,89, 6461
318,82, 6552
319,84, 6630
320,77, 6705
321,70, 6746
322,73, 6832
323,70, 6908
324,68, 6961
325,76, 7027
326,73, 7124
327,73, 7218
328,83, 7328
329,94, 7408
330,101, 7496
331,96, 7585
332,98, 7694
333,85, 7796
334,81, 7906
335,77, 8011
336,75, 8116
337,84, 8190
338,79, 8270
339,83, 8362
340,80, 8475
341,80, 8603
342,74, 8678
343,82, 8807
344,89, 8885
345,91, 8966
346,90, 9064
347,93, 9144
348,90, 9255
349,90, 9370
350,92, 9497
351,93, 9585
352,92, 9675
353,98, 9823
354,104, 9929
355,106, 10016
356,106, 10156
357,107, 10280
358,92, 10388
359,91, 10488
360,99, 10582
361,95, 10696
362,97, 10822
363,96, 10951
364,106, 11099
365,100, 11229
