Day,SnailPopulation, PredPopulation
1,200, 20
2,251, 21
3,307, 22
4,354, 22
5,399, 22
6,448, 2
7,490, 1
8,498, 0
9,238, 0
10,207, 0
11,166, 0
12,127, 0
13,102, 0
14,126, 0
15,126, 0
16,123, 0
17,135, 0
18,141, 0
19,114, 0
20,108, 0
21,114, 0
22,108, 0
23,105, 0
24,105, 0
25,105, 0
26,114, 0
27,132, 0
28,129, 0
29,123, 0
30,126, 0
31,111, 0
32,96, 0
33,93, 0
34,99, 0
35,93, 0
36,93, 0
37,92, 0
38,102, 0
39,108, 0
40,120, 0
41,119, 0
42,116, 0
43,108, 0
44,99, 0
45,102, 0
46,111, 0
47,118, 0
48,118, 0
49,118, 0
50,106, 0
51,103, 0
52,103, 0
53,115, 0
54,130, 0
55,148, 0
56,148, 0
57,135, 0
58,126, 0
59,114, 0
60,103, 0
61,97, 0
62,106, 0
63,109, 0
64,109, 0
65,106, 0
66,106, 0
67,109, 0
68,109, 0
69,100, 0
70,97, 0
71,112, 0
72,103, 0
73,100, 0
74,109, 0
75,118, 0
76,103, 0
77,118, 0
78,129, 0
79,135, 0
80,145, 0
81,151, 0
82,142, 0
83,136, 0
84,136, 0
85,118, 0
86,118, 0
87,121, 0
88,118, 0
89,114, 0
90,115, 0
91,133, 0
92,136, 0
93,133, 0
94,139, 0
95,145, 0
96,132, 0
97,129, 0
98,138, 0
99,141, 0
100,132, 0
101,132, 0
102,138, 0
103,128, 0
104,140, 0
105,154, 0
106,145, 0
107,131, 0
108,139, 0
109,130, 0
110,118, 0
111,124, 0
112,131, 0
113,128, 0
114,119, 0
115,125, 0
116,137, 0
117,137, 0
118,134, 0
119,146, 0
120,152, 0
121,140, 0
122,155, 0
123,157, 0
124,151, 0
125,151, 0
126,152, 0
127,128, 0
128,128, 0
129,119, 0
130,132, 0
131,136, 0
132,151, 0
133,144, 0
134,150, 0
135,134, 0
136,144, 0
137,144, 0
138,158, 0
139,159, 0
140,167, 0
141,164, 0
142,158, 0
143,146, 0
144,141, 0
145,146, 0
146,158, 0
147,175, 0
148,169, 0
149,183, 0
150,187, 0
151,178, 0
152,175, 0
153,190, 0
154,181, 0
155,184, 0
156,178, 0
157,193, 0
158,195, 0
159,214, 0
160,202, 0
161,213, 0
162,195, 0
163,192, 0
164,189, 0
165,192, 0
166,195, 0
167,193, 0
168,193, 0
169,187, 0
170,186, 0
171,178, 0
172,184, 0
173,196, 0
174,207, 0
175,226, 0
176,232, 0
177,232, 0
178,214, 0
179,214, 0
180,205, 0
181,217, 0
182,214, 0
183,223, 0
184,211, 0
185,205, 0
186,196, 0
187,190, 0
188,196, 0
189,181, 0
190,184, 0
191,187, 0
192,205, 0
193,199, 0
194,211, 0
195,211, 0
196,205, 0
197,196, 0
198,196, 0
199,205, 0
200,196, 0
201,205, 0
202,214, 0
203,220, 0
204,202, 0
205,214, 0
206,220, 0
207,210, 0
208,205, 0
209,226, 0
210,224, 0
211,212, 0
212,209, 0
213,218, 0
214,227, 0
215,236, 0
216,239, 0
217,245, 0
218,257, 0
219,236, 0
220,221, 0
221,224, 0
222,232, 0
223,214, 0
224,217, 0
225,244, 0
226,229, 0
227,220, 0
228,235, 0
229,241, 0
230,237, 0
231,253, 0
232,250, 0
233,232, 0
234,238, 0
235,217, 0
236,217, 0
237,217, 0
238,217, 0
239,208, 0
240,214, 0
241,214, 0
242,232, 0
243,241, 0
244,244, 0
245,247, 0
246,249, 0
247,239, 0
248,228, 0
249,226, 0
250,214, 0
251,208, 0
252,198, 0
253,208, 0
254,211, 0
255,223, 0
256,232, 0
257,226, 0
258,228, 0
259,231, 0
260,234, 0
261,240, 0
262,249, 0
263,246, 0
264,234, 0
265,231, 0
266,225, 0
267,219, 0
268,219, 0
269,216, 0
270,216, 0
271,210, 0
272,210, 0
273,201, 0
274,198, 0
275,201, 0
276,198, 0
277,201, 0
278,210, 0
279,216, 0
280,210, 0
281,216, 0
282,219, 0
283,213, 0
284,225, 0
285,225, 0
286,231, 0
287,222, 0
288,219, 0
289,222, 0
290,216, 0
291,213, 0
292,224, 0
293,234, 0
294,228, 0
295,243, 0
296,246, 0
297,252, 0
298,245, 0
299,243, 0
300,233, 0
301,215, 0
302,215, 0
303,209, 0
304,227, 0
305,249, 0
306,249, 0
307,237, 0
308,243, 0
309,225, 0
310,216, 0
311,213, 0
312,216, 0
313,213, 0
314,221, 0
315,219, 0
316,219, 0
317,246, 0
318,258, 0
319,249, 0
320,249, 0
321,270, 0
322,228, 0
323,228, 0
324,222, 0
325,219, 0
326,210, 0
327,219, 0
328,213, 0
329,218, 0
330,224, 0
331,227, 0
332,221, 0
333,228, 0
334,217, 0
335,207, 0
336,200, 0
337,215, 0
338,213, 0
339,230, 0
340,235, 0
341,248, 0
342,239, 0
343,227, 0
344,224, 0
345,236, 0
346,227, 0
347,221, 0
348,245, 0
349,245, 0
350,248, 0
351,233, 0
352,233, 0
353,227, 0
354,211, 0
355,201, 0
356,210, 0
357,249, 0
358,255, 0
359,261, 0
360,251, 0
361,241, 0
362,213, 0
363,207, 0
364,207, 0
365,207, 0
