500 21
Day,SnailPopulation, PredPopulation
1,200, 20
2,253, 21
3,313, 20
4,364, 19
5,423, 19
6,459, 2
7,495, 0
8,500, 0
9,250, 0
10,203, 0
11,176, 0
12,156, 0
13,121, 0
14,113, 0
15,113, 0
16,108, 0
17,105, 0
18,114, 0
19,114, 0
20,120, 0
21,135, 0
22,129, 0
23,120, 0
24,123, 0
25,123, 0
26,120, 0
27,129, 0
28,141, 0
29,132, 0
30,141, 0
31,135, 0
32,150, 0
33,135, 0
34,141, 0
35,126, 0
36,123, 0
37,96, 0
38,105, 0
39,111, 0
40,120, 0
41,135, 0
42,141, 0
43,141, 0
44,135, 0
45,129, 0
46,123, 0
47,132, 0
48,126, 0
49,126, 0
50,135, 0
51,134, 0
52,144, 0
53,147, 0
54,153, 0
55,153, 0
56,150, 0
57,138, 0
58,126, 0
59,123, 0
60,105, 0
61,106, 0
62,109, 0
63,127, 0
64,127, 0
65,127, 0
66,124, 0
67,127, 0
68,126, 0
69,130, 0
70,148, 0
71,154, 0
72,133, 0
73,127, 0
74,112, 0
75,109, 0
76,103, 0
77,109, 0
78,115, 0
79,126, 0
80,121, 0
81,119, 0
82,133, 0
83,129, 0
84,132, 0
85,126, 0
86,138, 0
87,126, 0
88,162, 0
89,150, 0
90,175, 0
91,164, 0
92,170, 0
93,140, 0
94,144, 0
95,120, 0
96,128, 0
97,115, 0
98,128, 0
99,125, 0
100,131, 0
101,128, 0
102,134, 0
103,125, 0
104,134, 0
105,140, 0
106,137, 0
107,137, 0
108,143, 0
109,140, 0
110,131, 0
111,137, 0
112,149, 0
113,140, 0
114,146, 0
115,161, 0
116,154, 0
117,154, 0
118,157, 0
119,154, 0
120,151, 0
121,158, 0
122,146, 0
123,140, 0
124,137, 0
125,131, 0
126,146, 0
127,158, 0
128,161, 0
129,161, 0
130,170, 0
131,164, 0
132,158, 0
133,176, 0
134,173, 0
135,173, 0
136,167, 0
137,178, 0
138,166, 0
139,169, 0
140,166, 0
141,157, 0
142,139, 0
143,142, 0
144,142, 0
145,142, 0
146,151, 0
147,157, 0
148,133, 0
149,127, 0
150,124, 0
151,133, 0
152,124, 0
153,139, 0
154,154, 0
155,165, 0
156,154, 0
157,157, 0
158,163, 0
159,142, 0
160,148, 0
161,157, 0
162,155, 0
163,152, 0
164,161, 0
165,140, 0
166,131, 0
167,146, 0
168,143, 0
169,149, 0
170,158, 0
171,158, 0
172,140, 0
173,146, 0
174,151, 0
175,152, 0
176,149, 0
177,164, 0
178,167, 0
179,155, 0
180,146, 0
181,164, 0
182,158, 0
183,143, 0
184,158, 0
185,167, 0
186,167, 0
187,179, 0
188,185, 0
189,173, 0
190,173, 0
191,153, 0
192,142, 0
193,145, 0
194,145, 0
195,145, 0
196,142, 0
197,160, 0
198,160, 0
199,168, 0
200,176, 0
201,188, 0
202,163, 0
203,169, 0
204,163, 0
205,148, 0
206,157, 0
207,169, 0
208,160, 0
209,145, 0
210,145, 0
211,134, 0
212,129, 0
213,132, 0
214,150, 0
215,158, 0
216,158, 0
217,158, 0
218,167, 0
219,161, 0
220,146, 0
221,143, 0
222,152, 0
223,163, 0
224,172, 0
225,183, 0
226,182, 0
227,176, 0
228,160, 0
229,172, 0
230,180, 0
231,183, 0
232,183, 0
233,168, 0
234,144, 0
235,147, 0
236,150, 0
237,165, 0
238,180, 0
239,196, 0
240,198, 0
241,217, 0
242,202, 0
243,211, 0
244,217, 0
245,210, 0
246,193, 0
247,207, 0
248,199, 0
249,190, 0
250,189, 0
251,187, 0
252,175, 0
253,177, 0
254,178, 0
255,172, 0
256,187, 0
257,200, 0
258,193, 0
259,203, 0
260,197, 0
261,203, 0
262,200, 0
263,203, 0
264,185, 0
265,197, 0
266,188, 0
267,188, 0
268,188, 0
269,191, 0
270,175, 0
271,177, 0
272,177, 0
273,174, 0
274,174, 0
275,192, 0
276,183, 0
277,195, 0
278,216, 0
279,216, 0
280,231, 0
281,234, 0
282,219, 0
283,186, 0
284,207, 0
285,198, 0
286,216, 0
287,236, 0
288,250, 0
289,234, 0
290,243, 0
291,231, 0
292,210, 0
293,210, 0
294,210, 0
295,197, 0
296,197, 0
297,204, 0
298,213, 0
299,222, 0
300,207, 0
301,210, 0
302,206, 0
303,222, 0
304,210, 0
305,243, 0
306,225, 0
307,219, 0
308,213, 0
309,216, 0
310,204, 0
311,204, 0
312,219, 0
313,219, 0
314,219, 0
315,213, 0
316,237, 0
317,240, 0
318,237, 0
319,240, 0
320,242, 0
321,246, 0
322,239, 0
323,239, 0
324,225, 0
325,225, 0
326,204, 0
327,198, 0
328,201, 0
329,231, 0
330,228, 0
331,252, 0
332,255, 0
333,249, 0
334,252, 0
335,258, 0
336,246, 0
337,237, 0
338,234, 0
339,209, 0
340,206, 0
341,209, 0
342,215, 0
343,230, 0
344,240, 0
345,225, 0
346,225, 0
347,234, 0
348,237, 0
349,234, 0
350,237, 0
351,242, 0
352,271, 0
353,264, 0
354,264, 0
355,268, 0
356,271, 0
357,248, 0
358,242, 0
359,263, 0
360,271, 0
361,259, 0
362,269, 0
363,262, 0
364,230, 0
365,219, 0
